track_name,artist_names,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
'Til You Can't,Cody Johnson,0.501,0.815,1.0,1.0,-4.865,0.0436,0.0513,0.0,0.106,0.46,160.08700000000005,224213.0
'Till I Collapse,"Eminem, Nate Dogg",0.5479999999999999,0.847,1.0,1.0,-3.237,0.18600000000000005,0.0622,0.0,0.0816,0.1,171.447,297787.0
(Don't Fear) The Reaper,Blue Öyster Cult,0.33299999999999996,0.927,9.0,0.0,-8.55,0.0733,0.0029,0.00020800000000000001,0.297,0.385,141.466,308120.0
(Everybody's Waitin' For) The Man With The Bag - Remastered 1996,Kay Starr,0.7390000000000001,0.317,0.0,1.0,-8.668,0.0905,0.391,0.00487,0.243,0.8059999999999999,71.165,162373.0
(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,0.478,0.341,5.0,1.0,-12.556,0.0511,0.897,0.0,0.258,0.474,143.736,175893.0
+Linda,Dalex,0.66,0.503,9.0,1.0,-5.501,0.34,0.131,0.0,0.13,0.396,175.896,161748.0
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,0.792,0.511,2.0,1.0,-6.876,0.0409,0.124,9.04e-05,0.14,0.111,113.98299999999999,168490.0
00:00,Siddhartha,0.494,0.7290000000000001,10.0,0.0,-5.098,0.0482,0.0597,0.0124,0.121,0.556,159.125,215252.0
1 0 0 . m i l ‘ (with Bas),"J. Cole, Bas",0.711,0.647,2.0,0.0,-5.6670000000000025,0.0822,0.33399999999999996,0.0,0.312,0.22699999999999998,125.09200000000001,163302.0
1 Scale (feat. G Herbo),"Young Dolph, G Herbo",0.878,0.635,6.0,0.0,-5.811,0.24,0.0289,0.0,0.276,0.331,135.035,176040.0
"1 step forward, 3 steps back",Olivia Rodrigo,0.473,0.203,2.0,1.0,-12.627,0.102,0.941,0.0,0.126,0.419,168.88400000000001,163587.0
10 Things I Hate About You,Leah Kate,0.544,0.7859999999999999,8.0,1.0,-2.97,0.0501,0.009909999999999999,0.0,0.16899999999999998,0.446,153.967,157138.0
"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",0.654,0.63,10.0,1.0,-4.644,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0
100,"Anuel AA, Ozuna",0.769,0.455,10.0,0.0,-5.6979999999999995,0.155,0.5539999999999999,2.07e-06,0.251,0.293,95.09700000000001,215293.0
100 Años,"Carlos Rivera, Maluma",0.5479999999999999,0.568,9.0,0.0,-4.46,0.0292,0.675,0.0,0.0916,0.735,83.30799999999998,185077.5
100 MILLONES,"Bad Bunny, Luar La L",0.8079999999999999,0.5589999999999999,1.0,1.0,-6.936,0.452,0.133,6.57e-06,0.0966,0.48,169.10299999999995,237459.0
11 PM,Maluma,0.777,0.7120000000000001,10.0,1.0,-4.84,0.27699999999999997,0.217,0.0,0.091,0.68,95.69200000000001,175733.0
120,Bad Bunny,0.636,0.6559999999999999,2.0,0.0,-5.5420000000000025,0.0676,0.451,7.97e-06,0.287,0.439,171.918,151506.0
12x3,DEKKO,0.8690000000000001,0.727,2.0,1.0,-4.956,0.121,0.00118,6.97e-05,0.183,0.613,93.98899999999999,159200.0
2 Much,Justin Bieber,0.583,0.444,9.0,1.0,-8.601,0.0456,0.593,0.0,0.353,0.16699999999999998,119.59,152796.0
2 Veces,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal",0.525,0.505,7.0,1.0,-4.199,0.032,0.5379999999999999,0.0,0.10099999999999999,0.79,179.968,191947.0
2/Catorce,"Rauw Alejandro, Mr. Naisgai",0.768,0.56,3.0,1.0,-3.497,0.0859,0.7090000000000001,0.000791,0.115,0.3720000000000001,112.084,205714.0
